Exon	Stop	Start	Size	fullStop	fullStart
exon2	91087955	91088726	1650	91087955	91089605
exon3a	90995476	90995478	17	90995461	90995478
exon3b	90995461	90995475	14	90995461	90995475
exon4	90992115	90992144	29	90992115	90992144
exon5	90991367	90991378	11	90991367	90991378
exon6	90704066	90704367	301	90704066	90704367
exon7a	90701988	90702011	23	90701988	90702011
exon7b	90701967	90701987	44	90701967	90702011
exon8	90700744	90700905	161	90700744	90700905
exon9	90642991	90643429	438	90642991	90643429
exon10	90629885	90630268	383	90629885	90630268
exon11	90623420	90623623	203	90623420	90623623
exon12	90620865	90620891	26	90620865	90620891
exon13	90597507	90597629	122	90597507	90597629
exon14	90589848	90590229	381	90589848	90590229
exon15	90588671	90588861	190	90588671	90588861
exon16	90565305	90565478	173	90565305	90565478
exon17	90561802	90561828	26	90561802	90561828
exon18	90560741	90560860	119	90560741	90560860
exon19	90362760	90362941	181	90362760	90362941
exon20	90208323	90208494	171	90208323	90208494
exon21	90163792	90163881	89	90163792	90163881
exon22	90162114	90162433	319	90162114	90162433
exon23a	90059485	90059563	78	90059485	90059563
exon23b	90059476	90059484	87	90059476	90059563
exon24	90037077	90037384	484	90036900	90037384
