Exon	Stop	Start	Size	fullStop	fullStart	Note
exon2	51254640	51255411	771	51254640	51255411	
exon3a	51153091	51153093	17	51153076	51153093	Splice Site 1
exon3b	51153076	51153090	14	51153076	51153090	Splice Site 1
exon4	51149796	51149825	29	51149796	51149825	Splice Site 1
exon5	51149007	51149018	11	51149007	51149018	Splice Site 1
exon6	50850452	50850753	301	50850452	50850753	
exon7a	50848364	50848387	23	50848364	50848387	Splice Site 2
exon7b	50848343	50848363	44	50848343	50848387	Splice Site 2
exon8	50847160	50847321	161	50847160	50847321	
exon9	50779725	50780163	438	50779725	50780163	
exon10	50765391	50765774	383	50765391	50765774	
exon11	50758365	50758568	203	50758365	50758568	
exon12	50755763	50755789	26	50755763	50755789	Splice Site 3
exon13	50733633	50733755	122	50733633	50733755	
exon14	50724471	50724852	381	50724471	50724852	
exon15	50723043	50723233	190	50723043	50723233	
exon16	50699436	50699609	173	50699436	50699609	
exon17	50693599	50693625	26	50693599	50693625	Splice Site 6
exon18	50692580	50692699	119	50692580	50692699	
exon19	50463927	50464108	181	50463927	50464108	
exon20	50318461	50318632	171	50318461	50318632	
exon21	50282093	50282182	89	50282093	50282182	Splice Site 4
exon22	50280409	50280728	319	50280409	50280728	
exon23a	50170851	50170929	78	50170851	50170929	Splice Site 5
exon23b	50170842	50170850	87	50170842	50170929	Splice Site 5
exon24	50149082	50149389	307	50149082	50149389	
